cityName,population,coords,countryName,continent,officialLanguage
Guyuan,1426000,Point(106.27816 36.00801),People's Republic of China,Asia,Putonghua
Suizhou,2047923,Point(113.3658 31.71755),People's Republic of China,Asia,Putonghua
Yichun,1148126,Point(128.88932 47.72347),People's Republic of China,Asia,Putonghua
Tongling,1311726,Point(117.811388888 30.945555555),People's Republic of China,Asia,Putonghua
Baoji,3321853,Point(107.17507 34.36094),People's Republic of China,Asia,Putonghua
Anyang,5477614,Point(114.34614 36.09561),People's Republic of China,Asia,Putonghua
Rizhao,2968365,Point(119.433055555 35.416388888),People's Republic of China,Asia,Putonghua
Tongliao,3139153,Point(122.26398 43.61723),People's Republic of China,Asia,Putonghua
Shenyang,9070093,Point(123.428055555 41.8025),People's Republic of China,Asia,Putonghua
Tongliao,2873168,Point(122.26398 43.61723),People's Republic of China,Asia,Putonghua
Bengbu,3296408,Point(117.35312 32.93537),People's Republic of China,Asia,Putonghua
Jiuquan,1055706,Point(98.50489 39.73695),People's Republic of China,Asia,Putonghua
Beiliu,1211637,Point(110.35 22.7),People's Republic of China,Asia,Putonghua
Lu'an,4393699,Point(116.50778 31.75425),People's Republic of China,Asia,Putonghua
Baotou,2650364,Point(109.83454 40.65621),People's Republic of China,Asia,Putonghua
Nanjing,9314685,Point(118.778888888 32.060833333),People's Republic of China,Asia,Putonghua
Leiyang,1151554,Point(112.8457 26.4179),People's Republic of China,Asia,Putonghua
Guigang,4409200,Point(109.594444444 23.114444444),People's Republic of China,Asia,Putonghua
Yueqing,1389332,Point(120.96211 28.11883),People's Republic of China,Asia,Putonghua
Tianshui,2984659,Point(105.73115 34.58093),People's Republic of China,Asia,Putonghua
Huainan,3033528,Point(117.016389 32.483056),People's Republic of China,Asia,Putonghua
Suihua,3756167,Point(126.98079 46.6384),People's Republic of China,Asia,Putonghua
Xi'an,12952907,Point(108.942222222 34.261111111),People's Republic of China,Asia,Putonghua
Rui'an,1520386,Point(120.65263 27.778),People's Republic of China,Asia,Putonghua
Guangzhou,18676605,Point(113.26 23.13),People's Republic of China,Asia,Putonghua
Jiuquan,1095947,Point(98.50489 39.73695),People's Republic of China,Asia,Putonghua
Hegang,1058665,Point(130.2775 47.313889),People's Republic of China,Asia,Putonghua
Guigang,4316262,Point(109.594444444 23.114444444),People's Republic of China,Asia,Putonghua
Daqing,2904532,Point(125.00798 46.59791),People's Republic of China,Asia,Putonghua
Pingliang,2068033,Point(106.68192 35.54123),People's Republic of China,Asia,Putonghua
Shenzhen,17494398,Point(114.054444444 22.546666666),People's Republic of China,Asia,Putonghua
Baotou,2709378,Point(109.83454 40.65621),People's Republic of China,Asia,Putonghua
Wuzhong,1284000,Point(106.19189 37.98742),People's Republic of China,Asia,Putonghua
Wuhan,12326518,Point(114.2975 30.595),People's Republic of China,Asia,Putonghua
Guyuan,1142142,Point(106.27816 36.00801),People's Republic of China,Asia,Putonghua
Yulin,5796766,Point(110.15067 22.6293),People's Republic of China,Asia,Putonghua
Shuangyashan,1462626,Point(131.15452 46.63883),People's Republic of China,Asia,Putonghua
Chifeng,4341245,Point(118.8825 42.255),People's Republic of China,Asia,Putonghua
Suihua,5418153,Point(126.98079 46.6384),People's Republic of China,Asia,Putonghua
Yueqing,1452707,Point(120.96211 28.11883),People's Republic of China,Asia,Putonghua
Shuangyashan,1208803,Point(131.15452 46.63883),People's Republic of China,Asia,Putonghua
Leiyang,1140675,Point(112.8457 26.4179),People's Republic of China,Asia,Putonghua
Suizhou,2221000,Point(113.3658 31.71755),People's Republic of China,Asia,Putonghua
Daqing,2781562,Point(125.00798 46.59791),People's Republic of China,Asia,Putonghua
Chengdu,20937757,Point(104.063333333 30.66),People's Republic of China,Asia,Putonghua
Chifeng,4035967,Point(118.8825 42.255),People's Republic of China,Asia,Putonghua
Yulin,5849700,Point(110.15067 22.6293),People's Republic of China,Asia,Putonghua
Hong Kong,7413070,Point(114.158611111 22.278333333),People's Republic of China,Asia,Putonghua
Hangzhou,11936010,Point(120.1675 30.25),People's Republic of China,Asia,Putonghua
Wuzhong,1382713,Point(106.19189 37.98742),People's Republic of China,Asia,Putonghua
Longnan,2567718,Point(105.349 33.535),People's Republic of China,Asia,Putonghua
Wuwei,1464955,Point(102.63286 37.92781),People's Republic of China,Asia,Putonghua
Zhangye,1199515,Point(100.45529 38.93545),People's Republic of China,Asia,Putonghua
Weinan,4688744,Point(109.46838 34.49962),People's Republic of China,Asia,Putonghua
Wuzhou,3061100,Point(111.316667 23.483333),People's Republic of China,Asia,Putonghua
Haidong,1396845,Point(102.10315 36.50145),People's Republic of China,Asia,Putonghua
Qinzhou,3304400,Point(108.616666666 21.95),People's Republic of China,Asia,Putonghua
Mudanjiang,2798723,Point(129.599722 44.586111),People's Republic of China,Asia,Putonghua
Ziyang,2308631,Point(104.63974 30.12562),People's Republic of China,Asia,Putonghua
Baise,3669400,Point(106.61943 23.90103),People's Republic of China,Asia,Putonghua
Fangchenggang,1046068,Point(108.3 21.6),People's Republic of China,Asia,Putonghua
Yan'an,2282581,Point(109.48628 36.59523),People's Republic of China,Asia,Putonghua
Qiqihar,4067489,Point(123.95124 47.33981),People's Republic of China,Asia,Putonghua
Guiping,1511011,Point(110.083333333 23.4),People's Republic of China,Asia,Putonghua
Xiangtan,2864800,Point(112.92283 27.84306),People's Republic of China,Asia,Putonghua
Hohhot,2866615,Point(111.66293 40.81507),People's Republic of China,Asia,Putonghua
Ziyang,2593843,Point(104.63974 30.12562),People's Republic of China,Asia,Putonghua
Haidong,1358471,Point(102.10315 36.50145),People's Republic of China,Asia,Putonghua
Xiangtan,2726181,Point(112.92283 27.84306),People's Republic of China,Asia,Putonghua
Baise,3571505,Point(106.61943 23.90103),People's Republic of China,Asia,Putonghua
Wenling,1366794,Point(121.37179 28.37974),People's Republic of China,Asia,Putonghua
